team_id,tournament_id,participation_date,result,team_name,region,ranking,tournament_name,location,prize_pool,sponsor_id,sponsor_name,contribution
45,19,2025-01-05,Win,Team service,Romania,68,firm,Hawkinschester,510250,17,Rodgers Ltd,49872
38,16,2025-02-13,Win,Team pretty,Jordan,22,let,Christophermouth,224033,1,Martinez-Gonzalez,17113
2,28,2025-01-22,Win,Team professional,French Southern Territories,7,discussion,North Cherylmouth,721741,14,Prince-Monroe,55324
6,2,2025-01-29,Loss,Team agent,Uganda,25,floor,Port Scott,54759,20,"Ramirez, Young and Miller",10378
22,4,2025-02-02,Draw,Team radio,Netherlands Antilles,98,religious,Gillville,282012,6,"Mueller, Rivera and Owens",9205
30,28,2025-01-09,Win,Team since,Saint Pierre and Miquelon,35,discussion,North Cherylmouth,721741,14,Prince-Monroe,55324
5,16,2025-01-09,Loss,Team soon,Costa Rica,20,let,Christophermouth,224033,1,Martinez-Gonzalez,17113
10,17,2025-01-09,Loss,Team unit,Congo,83,deep,East Christineburgh,327271,10,"Chapman, Clay and Mack",35069
19,13,2025-01-24,Draw,Team ball,Sudan,77,lot,Port Kathleen,445222,18,"Farmer, Jackson and Harrell",83972
20,19,2025-01-24,Win,Team effort,Iceland,85,firm,Hawkinschester,510250,17,Rodgers Ltd,49872
1,13,2025-01-18,Win,Team large,Turks and Caicos Islands,5,lot,Port Kathleen,445222,18,"Farmer, Jackson and Harrell",83972
17,22,2025-02-01,Win,Team role,Lesotho,23,tend,Port Cheryl,974895,17,Rodgers Ltd,49872
23,27,2025-01-22,Draw,Team group,Morocco,15,line,East Daniel,931157,14,Prince-Monroe,55324
44,26,2025-01-31,Loss,Team help,Vanuatu,8,democratic,Brettbury,942993,17,Rodgers Ltd,49872
7,10,2025-01-26,Draw,Team friend,Turkey,80,human,Stevenborough,112675,16,Hunt-Sutton,17993
29,16,2025-01-19,Draw,Team perform,Zambia,55,let,Christophermouth,224033,1,Martinez-Gonzalez,17113
10,22,2025-01-21,Win,Team unit,Congo,83,tend,Port Cheryl,974895,17,Rodgers Ltd,49872
28,28,2025-01-03,Loss,Team hold,Burkina Faso,70,discussion,North Cherylmouth,721741,14,Prince-Monroe,55324
47,30,2025-01-13,Draw,Team style,Northern Mariana Islands,24,middle,Kaylafurt,292755,5,"Evans, Elliott and Russell",17240
34,24,2025-02-02,Win,Team enough,Dominican Republic,72,idea,Rebeccaton,463530,14,Prince-Monroe,55324
6,24,2025-01-16,Win,Team agent,Uganda,25,idea,Rebeccaton,463530,14,Prince-Monroe,55324
43,13,2025-01-05,Draw,Team room,Kyrgyz Republic,22,lot,Port Kathleen,445222,18,"Farmer, Jackson and Harrell",83972
25,7,2025-01-03,Win,Team ready,Italy,54,strong,West Aprilhaven,77477,16,Hunt-Sutton,17993
11,17,2025-02-08,Win,Team card,Myanmar,50,deep,East Christineburgh,327271,10,"Chapman, Clay and Mack",35069
23,7,2025-01-25,Draw,Team group,Morocco,15,strong,West Aprilhaven,77477,16,Hunt-Sutton,17993
17,1,2025-01-22,Loss,Team role,Lesotho,23,board,Kellychester,701574,6,"Mueller, Rivera and Owens",9205
5,4,2025-02-18,Win,Team soon,Costa Rica,20,religious,Gillville,282012,6,"Mueller, Rivera and Owens",9205
49,13,2025-01-25,Win,Team week,Christmas Island,47,lot,Port Kathleen,445222,18,"Farmer, Jackson and Harrell",83972
22,25,2025-02-22,Draw,Team radio,Netherlands Antilles,98,training,Victoriaport,577794,10,"Chapman, Clay and Mack",35069
3,7,2025-02-15,Draw,Team try,Saint Kitts and Nevis,28,strong,West Aprilhaven,77477,16,Hunt-Sutton,17993
11,20,2025-01-17,Draw,Team card,Myanmar,50,cost,Estradashire,308177,10,"Chapman, Clay and Mack",35069
27,12,2025-02-18,Draw,Team town,Kazakhstan,83,particularly,South Ritafurt,98833,13,Thompson PLC,6680
2,2,2025-02-22,Loss,Team professional,French Southern Territories,7,floor,Port Scott,54759,20,"Ramirez, Young and Miller",10378
20,2,2025-01-22,Loss,Team effort,Iceland,85,floor,Port Scott,54759,20,"Ramirez, Young and Miller",10378
15,16,2025-02-22,Loss,Team star,Djibouti,93,let,Christophermouth,224033,1,Martinez-Gonzalez,17113
33,15,2025-01-04,Draw,Team admit,Benin,76,country,North Cheyenne,75315,18,"Farmer, Jackson and Harrell",83972
17,22,2025-02-16,Loss,Team role,Lesotho,23,tend,Port Cheryl,974895,17,Rodgers Ltd,49872
10,8,2025-02-19,Win,Team unit,Congo,83,effect,Andersonside,230256,5,"Evans, Elliott and Russell",17240
4,16,2025-02-03,Draw,Team spend,Norfolk Island,75,let,Christophermouth,224033,1,Martinez-Gonzalez,17113
37,7,2025-01-22,Draw,Team chair,Bahamas,73,strong,West Aprilhaven,77477,16,Hunt-Sutton,17993
29,22,2025-01-17,Draw,Team perform,Zambia,55,tend,Port Cheryl,974895,17,Rodgers Ltd,49872
36,25,2025-02-03,Win,Team different,Cook Islands,63,training,Victoriaport,577794,10,"Chapman, Clay and Mack",35069
45,3,2025-01-18,Win,Team service,Romania,68,nothing,Gibsonshire,814843,9,Harrison Ltd,1328
25,13,2025-02-09,Loss,Team ready,Italy,54,lot,Port Kathleen,445222,18,"Farmer, Jackson and Harrell",83972
47,27,2025-01-05,Win,Team style,Northern Mariana Islands,24,line,East Daniel,931157,14,Prince-Monroe,55324
48,27,2025-01-23,Win,Team party,United Arab Emirates,17,line,East Daniel,931157,14,Prince-Monroe,55324
41,18,2025-02-15,Draw,Team around,Russian Federation,43,century,South Natalie,447728,15,"Aguilar, Bailey and Smith",47660
42,8,2025-01-04,Win,Team which,Grenada,28,effect,Andersonside,230256,5,"Evans, Elliott and Russell",17240
13,1,2025-01-13,Loss,Team include,Djibouti,96,board,Kellychester,701574,6,"Mueller, Rivera and Owens",9205
48,29,2025-01-09,Loss,Team party,United Arab Emirates,17,opportunity,Parkerton,608048,6,"Mueller, Rivera and Owens",9205
5,4,2025-01-19,Loss,Team soon,Costa Rica,20,religious,Gillville,282012,6,"Mueller, Rivera and Owens",9205
18,10,2025-01-06,Draw,Team care,Georgia,24,human,Stevenborough,112675,16,Hunt-Sutton,17993
22,7,2025-01-17,Loss,Team radio,Netherlands Antilles,98,strong,West Aprilhaven,77477,16,Hunt-Sutton,17993
21,19,2025-01-31,Loss,Team yard,Palestinian Territory,30,firm,Hawkinschester,510250,17,Rodgers Ltd,49872
3,2,2025-01-05,Draw,Team try,Saint Kitts and Nevis,28,floor,Port Scott,54759,20,"Ramirez, Young and Miller",10378
